index,type,title,release_year,season_count
143,TV Show,Masters of the Universe: Revelation,2021,1
144,TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,2021,1
145,TV Show,Sky Rojo,2021,2
146,TV Show,The Movies That Made Us,2021,2
147,TV Show,Chicago Med,2019,5
148,TV Show,Sexy Beasts,2021,1
149,TV Show,Too Hot to Handle: Brazil,2021,1
150,TV Show,Okupas,2020,1
151,TV Show,Touch Your Heart,2019,1
152,TV Show,Explained,2021,3
153,TV Show,Johnny Test,2021,1
154,TV Show,Naomi Osaka,2021,1
155,TV Show,BEASTARS,2021,2
156,TV Show,Her Private Life,2019,1
157,TV Show,Never Have I Ever,2021,2
158,TV Show,Heist,2021,1
159,TV Show,My Unorthodox Life,2021,1
160,TV Show,Ridley Jones,2021,1
161,TV Show,Atypical,2021,4
162,TV Show,Biohackers,2021,2
163,TV Show,How to Become a Tyrant,2021,1
164,TV Show,The Cook of Castamar,2021,1
165,TV Show,Virgin River,2021,3
166,TV Show,Elize Matsunaga: Once Upon a Crime,2021,1
167,TV Show,RESIDENT EVIL: Infinite Darkness,2021,1
168,TV Show,Cat People,2021,1
169,TV Show,Dogs,2021,2
170,TV Show,The Mire,2021,2
171,TV Show,The War Next-door,2021,1
172,TV Show,Ask the StoryBots,2019,3
173,TV Show,Between,2016,2
174,TV Show,Chelsea,2017,2
175,TV Show,Code Lyoko,2007,4
176,TV Show,Colony,2018,3
177,TV Show,Cuckoo,2019,5
178,TV Show,Derry Girls,2019,2
179,TV Show,Girl from Nowhere,2021,2
180,TV Show,Good Morning Call,2017,2
181,TV Show,I AM A KILLER,2020,2
182,TV Show,I Think You Should Leave with Tim Robinson,2021,2
183,TV Show,Kim's Convenience,2021,5
184,TV Show,Larva,2015,3
185,TV Show,Marcella,2019,3
186,TV Show,Midnight Diner: Tokyo Stories,2019,2
187,TV Show,My Little Pony: Friendship Is Magic,2018,8
188,TV Show,Orange Is the New Black,2019,7
189,TV Show,Puffin Rock,2016,2
190,TV Show,Richie Rich,2015,2
191,TV Show,Scream,2019,3
192,TV Show,Shtisel,2021,3
193,TV Show,Some Assembly Required,2015,2
194,TV Show,Tales by Light,2018,3
195,TV Show,Terrace House: Opening New Doors,2018,6
196,TV Show,The A List,2021,2
197,TV Show,The New Legends of Monkey,2020,2
198,TV Show,The Worst Witch,2020,4
199,TV Show,Undercover,2020,2
200,TV Show,Workin' Moms,2021,5
201,TV Show,YooHoo to the Rescue,2020,3
202,TV Show,You Are My Spring,2021,1
203,TV Show,We the People,2021,1
204,TV Show,Grey's Anatomy,2020,17
205,TV Show,Big Timber,2020,1
206,TV Show,Mortel,2019,2
207,TV Show,Bureau of Magical Things,2020,1
208,TV Show,Generation 56k,2021,1
209,TV Show,Masameer County,2021,1
210,TV Show,Quarantine Tales,2020,1
211,TV Show,Rainbow Rangers,2018,1
212,TV Show,Sailor Moon Crystal,2016,3
213,TV Show,Young Royals,2021,1
214,TV Show,Droppin' Cash: Los Angeles,2019,1
215,TV Show,Legend of Exorcism,2020,1
216,TV Show,Somos.,2021,1
217,TV Show,Sophie: A Murder in West Cork,2021,1
218,TV Show,The Daily Life of the Immortal King,2020,1
219,TV Show,StarBeam,2021,4
220,TV Show,The Seven Deadly Sins,2021,5
221,TV Show,Ray,2021,1
222,TV Show,Sex/Life,2021,1
223,TV Show,Godzilla Singular Point,2021,1
224,TV Show,Jiva!,2021,1
225,TV Show,The Naked Director,2021,2
226,TV Show,The Parisian Agency: Exclusive Properties,2021,1
227,TV Show,Too Hot to Handle,2021,2
228,TV Show,This Is Pop,2021,1
229,TV Show,The Mole,2001,2
230,TV Show,"Nevertheless,",2021,1
231,TV Show,Bangkok Love Stories: Innocence,2018,1
232,TV Show,Black Lightning,2021,4
233,TV Show,Call My Agent!,2018,4
234,TV Show,Champions,2018,1
235,TV Show,Charité at War,2019,1
236,TV Show,Cleo & Cuquin,2020,2
237,TV Show,Deadwind,2020,2
238,TV Show,Gameboys Level-Up Edition,2020,1
239,TV Show,Glee,2015,6
240,TV Show,Hap and Leonard,2018,3
241,TV Show,Locked Up,2020,5
242,TV Show,No Time for Shame,2019,1
243,TV Show,Pose,2019,2
244,TV Show,REA(L)OVE,2018,1
245,TV Show,Riverdale,2019,4
246,TV Show,Schitt's Creek,2020,6
247,TV Show,The Assassination of Gianni Versace,2018,1
248,TV Show,The Judgement,2018,1
249,TV Show,The Last Dance,2020,1
250,TV Show,They've Gotta Have Us,2018,1
251,TV Show,Why Are You Like This,2021,1
252,TV Show,Elite,2021,4
253,TV Show,Hospital Playlist,2021,2
254,TV Show,So Not Worth It,2021,1
255,TV Show,The Rational Life,2021,1
256,TV Show,Black Summer,2021,2
257,TV Show,Elite Short Stories: Carla Samuel,2021,1
258,TV Show,Katla,2021,1
259,TV Show,Record of Ragnarok,2021,1
260,TV Show,The Gift,2021,3
261,TV Show,Elite Short Stories: Omar Ander Alexis,2021,1
262,TV Show,Let's Eat,2021,1
263,TV Show,Millennials,2020,3
264,TV Show,Penguin Town,2021,1
265,TV Show,Avengers Climate Conundrum,2020,1
266,TV Show,Beyond Evil,2021,1
267,TV Show,Elite Short Stories: Nadia Guzmán,2021,1
268,TV Show,Power Rangers Dino Fury,2021,1
269,TV Show,Rhyme Time Town,2021,2
270,TV Show,The American Bible Challenge,2014,1
271,TV Show,Elite Short Stories: Guzmán Caye Rebe,2021,1
272,TV Show,Metallica: Some Kind of Monster,2014,1
273,TV Show,Love (ft. Marriage and Divorce),2021,2
274,TV Show,LEGO Friends: The Power of Friendship,2016,2
275,TV Show,Lupin,2021,2
276,TV Show,Trese,2021,1
277,TV Show,Locombianos,2021,1
278,TV Show,"Fresh, Fried & Crispy",2021,1
279,TV Show,L.A.’s Finest,2021,2
280,TV Show,Guru Aur Bhole,2018,2
281,TV Show,"Newly Rich, Newly Poor",2007,1
282,TV Show,Feel Good,2021,2
283,TV Show,Human: The World Within,2021,1
284,TV Show,Sweet Tooth,2021,1
285,TV Show,Creator's File: GOLD,2021,1
286,TV Show,Pretty Guardian Sailor Moon Eternal The Movie,2021,1
287,TV Show,Summertime,2021,2
288,TV Show,Attack on Titan,2013,1
289,TV Show,Ben & Holly's Little Kingdom,2019,2
290,TV Show,Cocomelon,2021,3
291,TV Show,Downton Abbey,2015,6
292,TV Show,Happy Endings,2012,3
293,TV Show,Ouran High School Host Club,2006,1
294,TV Show,Racket Boys,2021,1
295,TV Show,The Adventures of Sonic the Hedgehog,1993,1
296,TV Show,The Platform,2021,3
297,TV Show,Dirty John,2020,2
298,TV Show,The Kominsky Method,2021,3
299,TV Show,The Least Expected Day: Inside the Movistar Team 2019,2021,2
300,TV Show,Word of Honor,2021,1
301,TV Show,Black Space,2021,1
302,TV Show,Eden,2021,1
303,TV Show,Ragnarok,2021,2
304,TV Show,High on the Hog: How African American Cuisine Transformed America,2021,1
305,TV Show,JoJo's Bizarre Adventure,2016,3
306,TV Show,Mad for Each Other,2021,1
307,TV Show,Master of None,2021,3
308,TV Show,Jurassic World Camp Cretaceous,2021,3
309,TV Show,The Neighbor,2021,2
310,TV Show,Special,2021,2
311,TV Show,The Magic School Bus,1997,1
312,TV Show,Who Killed Sara?,2021,2
313,TV Show,Booba: Food Puzzle,2021,1
314,TV Show,Alma Matters,2021,1
315,TV Show,Halston,2021,1
316,TV Show,Haunted,2021,3
317,TV Show,"Love, Death & Robots",2021,2
318,TV Show,Move to Heaven,2021,1
319,TV Show,The Mystic River,2020,1
320,TV Show,Castlevania,2021,4
321,TV Show,The Upshaws,2021,1
322,TV Show,Use For My Talent,2021,1
323,TV Show,"Money, Explained",2021,1
324,TV Show,Mine,2021,1
325,TV Show,Jupiter's Legacy,2021,1
326,TV Show,Sab Jholmaal Hai,2017,2
327,TV Show,Lava Ka Dhaava,2021,1
328,TV Show,The Sons of Sam: A Descent into Darkness,2021,1
329,TV Show,Selena: The Series,2020,2
330,TV Show,StartUp,2018,3
331,TV Show,Trash Truck,2021,2
332,TV Show,Angelina Ballerina,2010,2
333,TV Show,Barney and Friends,2010,2
334,TV Show,Miniforce: Super Dino Power,2020,1
335,TV Show,Pet Stars,2021,1
336,TV Show,The Innocent,2021,1
337,TV Show,The Unremarkable Juanquini,2021,2
338,TV Show,Yasuke,2021,1
339,TV Show,Headspace Guide to Sleep,2021,1
340,TV Show,Sexify,2021,1
341,TV Show,Fatma,2021,1
342,TV Show,Let's Fight Ghost,2021,1
343,TV Show,Shadow and Bone,2021,1
344,TV Show,Life in Color with David Attenborough,2021,1
345,TV Show,Zero,2021,1
346,TV Show,Izzy's Koala World,2021,2
347,TV Show,Luis Miguel - The Series,2021,2
348,TV Show,PJ Masks,2019,3
349,TV Show,Bakugan: Geogan Rising,2021,1
350,TV Show,Love Naggers,2021,1
351,TV Show,Dancing Angels,2016,1
352,TV Show,Durarara!!,2016,1
353,TV Show,Garth Brooks: The Road I’m On,2019,1
354,TV Show,Gilmore Girls,2006,7
355,TV Show,High-Rise Invasion,2021,1
356,TV Show,Next in Fashion,2020,1
357,TV Show,Peasants Rebellion,2018,1
358,TV Show,Power Players,2020,3
359,TV Show,Ricky Zoom,2019,1
360,TV Show,Sonic X,2003,2
361,TV Show,Ajaibnya Cinta,2015,1
362,TV Show,Dad Stop Embarrassing Me!,2021,1
363,TV Show,Fate: The Winx Saga,2021,1
364,TV Show,House of Cards,2018,6
365,TV Show,Indian Matchmaking,2020,1
366,TV Show,Jeffrey Epstein: Filthy Rich,2020,1
367,TV Show,Law School,2021,1
368,TV Show,Living with Yourself,2019,1
369,TV Show,Signal,2016,1
370,TV Show,Slasher,2019,3
371,TV Show,The Underclass,2020,1
372,TV Show,Unnatural Selection,2019,1
373,TV Show,My Love: Six Stories of True Love,2021,1
374,TV Show,The Baker and the Beauty,2020,1
375,TV Show,"Nicky, Ricky, Dicky & Dawn",2018,4
376,TV Show,Don't be the First one,2021,1
377,TV Show,Heaven Official's Blessing,2020,1
378,TV Show,The Way of the Househusband,2021,1
379,TV Show,The Big Day,2021,2
380,TV Show,The Wedding Coach,2021,1
381,TV Show,This Is a Robbery: The World's Biggest Art Heist,2021,1
382,TV Show,Glimpses of a Future,2020,1
383,TV Show,Magical Andes,2021,2
384,TV Show,Murder Maps,2017,2
385,TV Show,Prank Encounters,2021,2
386,TV Show,Secrets of Great British Castles,2016,2
387,TV Show,Worn Stories,2021,1
388,TV Show,Haunted: Latin America,2021,1
389,TV Show,Robocar Poli,2015,2
390,TV Show,Yu-Gi-Oh!,2005,1
391,TV Show,Rainbow High,2020,1
392,TV Show,Big Time Rush,2013,4
393,TV Show,Magic for Humans Spain,2021,1
394,TV Show,The Irregulars,2021,1
395,TV Show,DOTA: Dragon's Blood,2021,1
396,TV Show,Pui Pui Molcar,2021,1
397,TV Show,Men on a Mission,2021,6
398,TV Show,Navillera,2021,1
399,TV Show,Mighty Morphin Power Rangers,2010,4
400,TV Show,Alien TV,2021,2
401,TV Show,Country Comfort,2021,1
402,TV Show,Formula 1: Drive to Survive,2021,3
403,TV Show,B: The Beginning,2021,2
404,TV Show,Under Suspicion: Uncovering the Wesphael Case,2021,1
405,TV Show,Waffles + Mochi,2021,1
406,TV Show,Abla Fahita: Drama Queen,2021,1
407,TV Show,The Lost Pirate Kingdom,2021,1
408,TV Show,Zero Chill,2021,1
409,TV Show,Love Alarm,2021,2
410,TV Show,Paradise PD,2021,3
411,TV Show,The One,2021,1
412,TV Show,Dealer,2021,1
413,TV Show,Last Chance U: Basketball,2021,1
414,TV Show,Marriage or Mortgage,2021,1
415,TV Show,The Houseboat,2021,1
416,TV Show,Bombay Begums,2021,1
417,TV Show,My Way,2015,1
418,TV Show,City of Ghosts,2021,1
419,TV Show,Nevenka: Breaking the Silence,2021,1
420,TV Show,Pokémon Journeys: The Series,2021,4
421,TV Show,Pacific Rim: The Black,2021,1
422,TV Show,Murder Among the Mormons,2021,1
423,TV Show,Word Party,2021,5
