,index,series_title,runtime_of_series,genre,imdb_rating,no_of_votes,index,type,title,release_year,season_count
56,1424,The Magic School Bus,(1994–1997),"Animation, Adventure, Comedy",7.8,8305,311,TV Show,The Magic School Bus,1997,1
57,160,"Love, Death & Robots",(2019– ),"Animation, Short, Comedy",8.5,97113,317,TV Show,"Love, Death & Robots",2021,2
58,405,Castlevania,(2017– ),"Animation, Action, Adventure",8.2,38855,320,TV Show,Castlevania,2021,4
59,1023,StartUp,(2016–2018),"Crime, Thriller",8.0,12739,330,TV Show,StartUp,2018,3
60,1716,Durarara!!,(2010),"Animation, Comedy, Crime",7.9,6397,352,TV Show,Durarara!!,2016,1
61,154,Gilmore Girls,(2000–2007),"Comedy, Drama",8.1,101373,354,TV Show,Gilmore Girls,2006,7
62,680,Fate: The Winx Saga,(2021– ),"Action, Adventure, Drama",6.9,21438,363,TV Show,Fate: The Winx Saga,2021,1
63,12,House of Cards,(2013–2018),Drama,8.7,467371,364,TV Show,House of Cards,2018,6
64,583,Living with Yourself,(2019– ),"Comedy, Drama, Sci-Fi",7.2,25263,368,TV Show,Living with Yourself,2019,1
65,1121,Slasher,(2016– ),"Crime, Drama, Horror",6.7,11388,370,TV Show,Slasher,2019,3
66,775,Yu-Gi-Oh!,(I) (2000–2006),"Animation, Action, Adventure",7.2,18651,390,TV Show,Yu-Gi-Oh!,2005,1
67,1245,Big Time Rush,(2009–2013),"Comedy, Family, Musical",6.3,10006,392,TV Show,Big Time Rush,2013,4
68,714,Mighty Morphin Power Rangers,(1993–1996),"Action, Adventure, Family",6.5,20198,399,TV Show,Mighty Morphin Power Rangers,2010,4
69,734,Formula 1: Drive to Survive,(2019– ),"Documentary, Sport",8.6,19676,402,TV Show,Formula 1: Drive to Survive,2021,3
70,972,Paradise PD,(2018– ),"Animation, Action, Comedy",6.9,13644,410,TV Show,Paradise PD,2021,3
71,486,Good Girls,(2018– ),"Comedy, Crime, Drama",7.8,32012,443,TV Show,Good Girls,2020,3
72,281,Chappelle's Show,(2003–2006),"Comedy, Music",8.8,54457,447,TV Show,Chappelle's Show,2005,2
73,1366,Crime Scene: The Vanishing at the Cecil Hotel,(2021),"Documentary, Crime, Mystery",5.9,8772,451,TV Show,Crime Scene: The Vanishing at the Cecil Hotel,2021,1
74,176,The Sinner,(2017– ),"Crime, Drama, Mystery",7.9,87656,454,TV Show,The Sinner,2020,3
